YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
1984,Oregon,OR,1265824,1226527,1962501,2.6%,"4,224",0,0,"4,224",,"1,907,252",66.37%,64.50%
1984,Pennsylvania,PA,,4844903,8918353,1.3%,"13,090",0,0,"13,090",,"8,789,324",,
1984,Rhode Island,RI,422851,410492,739064,4.9%,"1,221","7,147",394,"5,189",,"697,661",60.61%,57.21%
1984,South Carolina,SC,1018701,968529,2368236,0.7%,"9,892","17,043","3,441","21,855",,"2,329,803",43.72%,43.02%
1984,South Dakota,SD,,317867,497849,0.5%,921,0,0,921,,"494,439",,
1984,Tennessee,TN,,1711994,3463234,0.6%,"7,307","23,598","6,524","25,630",,"3,416,825",,
1984,Texas,TX,,5397571,11397758,5.4%,"36,682","235,568","40,783","195,249",,"10,587,030",,
1984,Utah,UT,641846,629656,1022083,2.3%,0,0,0,0,,"998,575",64.28%,62.80%
1984,Vermont,VT,235140,234561,387620,1.6%,0,0,0,0,,"381,418",61.65%,60.66%
1984,Virginia,VA,,2146635,4234017,2.6%,"10,839","16,690","5,986","25,170",,"4,098,763",,
1984,Washington,WA,1931546,1883910,3213263,3.4%,"6,821","39,181","5,253","31,665",,"3,072,347",62.87%,60.11%
1984,West Virginia,WV,,735742,1401733,0.4%,"1,579","3,597",724,"4,102",,"1,392,024",,
1984,Wisconsin,WI,,2211689,3468053,1.1%,"4,974","22,426","3,853","20,040",,"3,409,864",,
1984,Wyoming,WY,196153,188968,343957,1.0%,724,"1,708",352,"1,930",,"338,587",57.93%,57.03%
1982,United States,,,67615576,166027633,4.0%,"399,102","789,951","165,559","959,637","1,981,895","160,408,786",,
1982,Alabama,AL,,1128725,2813033,0.5%,"9,233","14,229","2,266","18,614",,"2,780,354",,
1982,Alaska,AK,199458,194885,316787,2.2%,"1,322","1,816",101,"2,331",,"307,487",64.87%,62.96%
1982,Arizona,AZ,742923,726364,2112246,3.8%,"6,069","14,949","1,527","15,071",,"2,016,910",36.83%,35.17%
1982,Arkansas,AR,,789351,1656707,0.5%,"3,922","3,384","3,061","8,675",,"1,639,748",,
1982,California,CA,8064314,7876698,18448245,12.1%,"34,640",0,"18,913","53,553",,"16,162,454",49.90%,43.71%
1982,Colorado,CO,1037774,956021,2248839,2.1%,"3,042",0,"1,202","4,244",,"2,197,369",47.23%,46.15%
1982,Connecticut,CT,1112428,1084156,2369975,4.0%,"5,156","33,061","1,311","22,998",,"2,252,178",49.39%,46.94%
1982,Delaware,DE,195726,190960,441374,1.4%,"2,068","4,626",621,"5,002",,"430,193",45.50%,44.34%
1982,District of Columbia,DC,,117623,500492,5.1%,"4,081",0,0,"4,081",,"470,886",,
1982,Florida,FL,,2688566,8139171,6.3%,"27,830","57,074","5,974","62,341",,"7,564,062",,
1982,Georgia,GA,,1169041,4047788,1.1%,"14,405","78,097","4,897","58,351",,"3,944,911",,
1982,Hawaii,HI,325459,311853,724189,7.1%,"1,461",0,0,"1,461",,"671,311",48.48%,44.94%
1982,Idaho,ID,332237,326522,662251,1.6%,"1,044",0,0,"1,044",,"650,611",51.07%,50.17%
1982,Illinois,IL,3856875,3673681,8284606,4.4%,"14,293",0,0,"14,293",,"7,905,790",48.79%,46.55%
1982,Indiana,IN,1834225,1817287,3921907,0.9%,"8,790",0,0,"8,790",,"3,877,820",47.30%,46.77%
1982,Iowa,IA,1050495,1038229,2094031,0.8%,"2,829","10,625","1,050","9,192",,"2,068,087",50.80%,50.17%
1982,Kansas,KS,,763263,1761238,1.2%,"3,078",0,0,"3,078",,"1,737,025",,
1982,Kentucky,KY,,700322,2642810,0.5%,"4,031","14,516","3,430","14,719",,"2,614,877",,
1982,Louisiana,LA,,,3029834,1.2%,"10,930",0,0,"10,930",,"2,982,546",,
1982,Maine,ME,,460295,828907,1.3%,0,0,0,0,,"818,131",,
1982,Maryland,MD,1190011,1139149,3174995,3.0%,"11,617","52,603","6,024","43,943",,"3,035,802",39.20%,37.48%
1982,Massachusetts,MA,2103780,2050769,4375262,4.4%,0,0,0,0,,"4,182,750",50.30%,48.08%
1982,Michigan,MI,3135928,3040008,6498711,1.9%,"14,913",0,0,"14,913",,"6,360,322",49.30%,48.25%
1982,Minnesota,MN,1834737,1804675,2993256,1.1%,"2,081","24,320","1,479","15,720",,"2,944,610",62.31%,61.30%
1982,Mississippi,MS,,645026,1762406,0.4%,"5,484","6,304","2,914","11,550",,"1,743,806",,
1982,Missouri,MO,,1543521,3615526,0.7%,"7,445","21,637","2,556","20,820",,"3,569,397",,
1982,Montana,MT,328082,321062,574592,0.7%,914,0,0,914,,"569,656",57.59%,57.10%
1982,Nebraska,NE,559422,547902,1145316,0.8%,"1,739","9,964",309,"7,030",,"1,129,123",49.54%,48.84%
1982,Nevada,NV,242578,240394,655823,4.4%,"2,753","4,733","1,065","6,185",,"620,782",39.08%,36.99%
1982,New Hampshire,NH,289057,282588,698424,1.7%,445,0,0,445,,"686,106",42.13%,41.39%
1982,New Jersey,NJ,2286925,2193945,5563627,5.4%,"8,191","38,186","10,514","37,798",,"5,225,393",43.77%,41.10%
1982,New Mexico,NM,417945,407466,949133,2.6%,"1,718","3,854","1,206","4,851",,"919,605",45.45%,44.03%
1982,New York,NY,5437367,5254891,13150573,7.5%,"27,945",0,"21,062","49,007",,"12,115,273",44.88%,41.35%
1982,North Carolina,NC,,1321080,4427095,0.8%,"16,569","44,274","6,910","45,616",,"4,346,062",,
