ad_id,Donate,Contact,Purchase,Vote,Event,Poll,Acquisition,Learn,Persuade
x_1003148874829281,1,0,0,0,0,0,0,0,0
x_1003153728271505,0,0,0,0,0,0,1,0,0
x_1003159981559855,0,0,0,0,0,0,1,0,0
x_1003175984915309,1,0,0,0,0,0,0,0,0
x_1003181054899207,0,0,0,0,0,0,0,0,0
x_1003201684089402,0,0,0,0,0,1,0,0,0
x_1003205764918660,0,0,1,0,0,0,0,0,0
x_1003231454876326,0,0,0,0,0,0,0,0,0
x_1003237048237141,0,0,0,1,0,0,0,1,0
x_1003248141542861,0,0,0,0,0,0,0,1,0
x_1003275021604616,0,0,0,0,0,0,0,1,0
x_1003276151552920,0,0,0,0,0,0,0,0,1
x_1003278361561116,0,0,0,1,0,0,0,1,0
x_1003285491636730,0,0,0,0,0,0,0,0,1
x_1003290714538944,1,0,0,0,0,0,0,0,0
x_1003315661253932,0,0,0,0,0,0,1,0,0
x_1003324194879046,0,0,1,0,0,0,0,0,0
x_1003325658229474,0,0,1,0,0,0,0,0,0
x_1003333587999959,0,0,0,0,0,0,0,1,0
x_1003333628216477,0,0,0,0,0,0,0,0,0
x_1003339414898851,0,0,0,0,0,0,0,1,1
x_1003342081589291,1,0,0,0,0,0,0,0,0
x_1003348034934906,0,0,0,0,0,0,1,0,0
x_1003353731796504,0,0,0,0,0,0,0,0,0
x_1003356894870260,0,0,0,0,0,0,0,0,0
x_1003357981476501,1,0,0,0,0,0,0,0,0
x_1003358728144322,0,0,0,0,0,0,0,0,0
x_1003365398168867,0,0,0,1,0,0,0,1,0
x_1003392371799310,0,0,0,1,0,0,0,0,0
x_1003393114875341,0,0,0,0,0,0,0,0,1
x_1003406914806299,0,0,1,0,0,0,0,0,0
x_1003412921584328,0,0,0,1,0,0,0,0,0
x_1003416248224772,0,0,0,0,0,0,0,0,1
x_1003417474611739,0,0,1,0,0,0,0,0,0
x_1003423304805656,1,0,0,0,0,0,0,1,1
x_1003445848195074,1,0,0,0,0,0,0,0,0
x_1003455211515408,0,0,0,0,0,0,0,0,0
x_1003460701031184,1,0,0,0,0,0,0,0,0
x_1003485614909173,0,0,0,0,0,0,0,1,1
x_1003501364878005,0,0,1,0,0,0,0,0,0
x_1003520944010413,0,0,1,0,0,0,0,0,0
x_1003521568128695,0,0,0,0,0,0,0,1,1
x_1003527154910321,0,0,0,0,0,0,1,0,0
x_1003527494368566,0,0,1,0,0,0,0,0,1
x_1003539534899476,0,0,0,0,0,0,0,1,1
x_1003540908162549,0,0,0,0,0,0,0,0,1
x_1003542664374255,0,0,0,0,0,0,0,0,0
x_1003543221500277,1,0,0,0,0,0,0,0,0
x_1003558251515881,1,0,0,0,0,0,0,0,0
x_1003567604875576,0,0,0,0,0,0,0,1,0
x_1003596164878197,0,0,0,0,0,0,0,1,1
x_1003610771777496,0,0,0,0,0,0,0,0,0
x_1003619881517222,0,0,1,0,0,0,0,0,0
x_1003622821517737,0,0,0,1,0,0,0,0,0
